Date,Amount,Location,Store,Fraudulent
2024-08-20,170.96,East Cassandraburgh,Thomas Group,False
2003-06-04,523.06,Ballton,"Garner, Schmidt and Gould",True
1973-05-13,479.05,Lake Angelatown,Phillips Inc,False
1978-12-06,614.07,Johnmouth,Carpenter Ltd,False
2009-02-10,11.73,Allisonport,Gardner-Fischer,True
2007-06-24,262.92,East Tristan,"Burke, Chan and Hogan",False
2022-12-26,526.63,North Emily,Gonzalez Ltd,False
1976-06-23,100.11,East Sandra,"Robinson, Coleman and Gentry",True
2012-09-17,986.21,East Christopherborough,Johnson-Long,True
2013-03-21,867.89,Andersonland,"Thomas, House and Hammond",False
1998-10-26,312.97,Gonzalezfort,Ellis Inc,True
1989-09-10,761.86,Santoschester,Alexander-Carr,False
1996-07-10,500.22,Knightton,Moses PLC,True
1986-08-01,969.3,Ashleyshire,"Brown, Campbell and Hansen",False
2014-08-19,215.83,Garciamouth,Summers-Erickson,True
1970-12-30,643.89,Leonardfurt,"Lewis, Arias and Perez",True
2002-11-06,17.6,Newtonland,Hall-Bates,False
1979-05-29,10.56,North Amber,Martinez Inc,True
1993-09-30,524.43,North Charles,Lee-Jones,True
1988-10-09,92.07,North Jasonburgh,Taylor Inc,False
1981-08-07,52.53,West Donnatown,Lopez-Baker,False
1992-12-31,529.93,West Travistown,Cruz-Kelley,False
1985-09-29,382.93,Nancyshire,"Barrera, Schaefer and Frye",False
1975-04-09,396.98,Mendozafort,West PLC,False
2025-02-27,189.82,Floresland,Johnson-Decker,False
1979-06-18,721.74,Port Lisa,Williams-White,True
2019-08-21,580.25,New Jameston,"Gomez, Burton and Morgan",True
2016-10-13,20.04,East Hannahmouth,Boone-Mendez,True
1988-02-11,473.29,North Erin,"Chen, Jackson and Stout",False
1974-10-05,205.21,Andrewburgh,Bolton Group,False
1992-06-01,628.63,Port Nicholas,Stone-Cunningham,False
2020-10-19,339.62,Martinezborough,White-Barton,False
1989-01-26,224.74,Jesusland,Ross-Fletcher,False
2019-11-10,220.11,Port David,Adams-Wang,False
1980-08-19,480.13,North Jamesmouth,Sellers Inc,True
2016-09-21,208.72,West Deborahhaven,Collins-Shaffer,True
2024-08-12,17.32,Port Valerie,"Oliver, Hernandez and Phillips",True
2012-01-29,191.24,Annaport,"Wilson, Carr and Clark",True
2005-07-16,997.11,Port Jeffrey,Castillo-Edwards,False
1982-04-27,413.03,North Deniseside,Hodges Group,False
1980-01-27,315.32,South Tanyamouth,"Carter, Reynolds and Anderson",True
1973-01-24,804.24,North Jenniferside,Webb-Jones,True
1972-03-18,185.06,Port Shannon,Gordon-Martinez,False
1981-01-26,177.06,Matamouth,Porter-Salas,False
2013-10-25,637.82,Lake Jeffery,Santos-Jackson,False
2010-08-30,863.14,Lake Amanda,Cooper Ltd,True
2023-10-01,114.71,West Morganside,"Mcdonald, Bartlett and Newton",True
1989-11-01,947.57,South David,"Contreras, Sawyer and Mcguire",False
1995-05-12,289.28,Jeanneton,Pena-Patterson,True
2010-05-23,546.36,Keybury,Holloway-Smith,True
2015-01-03,249.8,Dominguezchester,"Nguyen, Klein and Jones",False
1976-08-02,399.82,West Moniqueside,Olsen Group,False
1991-07-28,917.76,North Calvinborough,"Knox, Sanchez and Simpson",True
2008-11-19,916.13,South Amanda,Valdez Ltd,False
2025-02-15,777.64,Port Davidstad,"Martinez, Taylor and Novak",True
1993-07-07,801.65,Lake Christinaberg,"Watson, Salazar and Salazar",True
2019-09-04,931.03,Mcguireville,"Nelson, Barnes and Bates",False
2018-09-13,600.11,Catherineton,"Richardson, Mitchell and Peterson",True
1994-02-06,470.92,Richardshaven,Smith Inc,False
1999-05-28,115.18,Port Stephanie,Dawson-Mitchell,False
2021-12-19,358.81,Nicholaston,Hardin-Martin,True
1973-10-17,130.13,Davenportland,"Hill, Hicks and Wood",False
1988-03-11,762.56,New Kimberlyburgh,Chavez-Hubbard,True
1971-01-30,566.54,Joshuahaven,Perry and Sons,False
1987-12-10,870.82,Jessicachester,Ali PLC,False
1996-08-24,199.58,East Victor,"Gutierrez, Valdez and Wagner",True
2017-07-21,517.94,Leslieport,"Stewart, Gonzalez and Cole",True
2003-12-18,528.92,Deleonton,Cannon Ltd,False
1974-06-06,355.2,Port Travisland,Hill-Williams,False
2020-12-09,232.87,Suarezfurt,"Casey, Moss and Reyes",True
2009-12-30,309.83,Kevinburgh,Martinez LLC,True
2015-01-15,654.98,Maxwellton,Stout LLC,True
1977-12-27,314.82,Lake Anthonyville,Anderson-Gutierrez,False
1989-04-12,759.99,East Scottport,Clark-Hanson,True
2002-10-05,204.82,Fowlerton,Mcmillan PLC,True
2002-10-01,272.42,Amandafort,"Deleon, Stephens and Morse",False
2021-07-02,879.59,Esteshaven,Martinez-Ward,True
1991-10-17,473.71,Coreytown,Lewis Inc,False
1998-12-13,962.45,Bishopmouth,"Chapman, Williams and Jones",False
2021-11-17,595.19,South Luis,Adams-Bennett,True
1987-04-06,270.85,Thompsonmouth,"Jones, Moore and Pham",False
2010-06-23,207.86,West Patrickfort,"Harrison, Woodward and Phillips",True
1972-05-19,241.08,Patelburgh,Mccoy LLC,True
1983-10-12,949.0,West Deanna,"Lewis, Morales and Crawford",False
1994-03-21,344.64,North Sandra,"Hernandez, Christensen and Gonzalez",True
1970-08-27,634.57,West Josephport,Beasley Inc,True
2002-12-18,789.72,Sarastad,"Johnson, Stokes and Johnson",False
1977-01-02,926.24,Port Brittany,Perry-Jenkins,False
2019-03-16,231.56,South Emily,Pierce LLC,True
1974-12-20,212.94,Lake Barbara,Farrell-Rodriguez,True
1992-11-29,122.94,Belindaside,Cooley-Schmidt,True
1976-07-30,674.45,Port Jacob,Callahan-Smith,True
1973-02-04,572.83,Catherineton,"Terry, Davis and Smith",False
2011-03-29,840.64,Stoneburgh,Fleming-Parker,True
1990-12-27,919.78,North Marissa,Salazar-Johnson,False
1994-02-10,66.24,Port Jasonborough,"Davis, Smith and Barker",True
2019-10-21,299.89,Adamschester,Miller-Ayers,False
2002-02-26,601.78,Lake Michael,Garcia-Mendoza,True
2022-03-13,341.23,North Rachaeltown,Johnson-Foster,True
2024-12-17,151.92,Watersstad,Smith Ltd,True
2004-11-21,981.91,West Chad,Kim Ltd,True
1993-11-05,563.46,South Gary,"Murray, Andersen and Williams",False
2024-12-11,599.43,Kevinfort,Smith LLC,False
1970-02-05,297.34,Amandamouth,Mora and Sons,True
1996-05-02,911.14,Dixonborough,"Ramirez, Alexander and Friedman",False
2003-03-21,582.98,Hoffmanborough,Greer Group,True
2006-02-16,277.48,Charleston,Beck PLC,False
2001-06-26,502.85,Joneschester,Adams-Smith,False
1981-09-27,572.42,East Heidi,"Garcia, Coleman and Henderson",False
2002-01-20,933.47,Lake Michael,Avila-Brown,False
2001-03-11,475.71,Bruceburgh,"Taylor, Hodges and Pena",True
1997-11-24,199.09,New Megan,"Russell, Smith and Miller",True
1986-08-09,569.17,Kaisermouth,Snyder PLC,True
1992-03-20,420.49,Bairdtown,Jones and Sons,False
1990-06-17,22.26,Martinfurt,Carroll-Marquez,False
2007-04-09,671.62,Martinbury,"Collins, Jenkins and Allen",False
2010-07-29,32.23,North Gail,"Miller, Ramos and Stephens",True
2022-08-08,119.23,East April,Bailey-English,False
1972-11-16,164.97,North Josephbury,Morgan-Key,True
1977-01-15,857.38,Port Justinfurt,Lawrence LLC,False
1985-07-16,824.61,Grantside,Day PLC,False
2006-01-28,307.27,Romeroport,"Mckenzie, Wolf and Holmes",False
2011-09-25,985.98,South Jessicachester,Hall-Kennedy,False
1993-06-25,847.11,Lake Anneville,Gates Ltd,False
1987-03-06,583.91,Hodgesport,Rhodes Inc,False
2004-12-26,486.63,Lake Staceybury,Steele PLC,True
2008-02-25,105.97,Stonebury,"Owen, Mooney and Torres",False
2005-03-15,862.5,Port Christinaburgh,Michael-King,False
1999-09-15,260.59,Anthonyborough,Patterson-Warren,False
1974-02-02,496.52,Grantton,Washington-Barnett,True
1982-05-07,808.47,Wayneport,"Wood, Garcia and Rodriguez",False
1972-03-22,883.78,Davisview,"Mercado, Washington and Schultz",False
2025-02-24,167.83,East Robert,Erickson Group,True
2005-05-16,183.01,Lake Michael,"Holmes, Zamora and Hernandez",False
1971-05-30,996.6,West Amberton,Carter-Price,False
2018-10-06,515.79,Gillside,Ali Ltd,True
1992-04-04,16.28,North Benjamin,Lee-Baker,True
1993-12-31,147.26,Justinborough,"Kemp, Sutton and Green",False
1984-10-17,282.07,Brittanybury,Long Inc,False
1977-05-23,77.97,Gonzalezton,"Martinez, Sanders and Mckay",False
1994-08-21,631.83,Bellfort,Schneider LLC,True
1976-12-31,21.67,Snyderland,Nixon-Faulkner,False
2014-07-19,34.23,New Cynthia,Moore Inc,True
2014-10-24,794.7,North Stevenmouth,Daniels LLC,False
2000-12-11,292.52,Lake Dana,White Ltd,False
1998-08-24,552.65,North Sarah,"Nguyen, Hernandez and Bailey",False
1973-09-27,423.58,Andersonton,Howell Group,True
2020-12-13,271.75,Tannerberg,Gaines-Lang,True
2011-03-21,488.82,Nelsonmouth,Campbell Group,True
2016-10-30,542.31,Davidchester,Brown PLC,True
2012-04-20,756.03,South Joshua,Garcia Inc,False
1980-11-12,98.37,Stanleyview,Lee LLC,False
1985-12-25,543.54,West Christopherstad,Kennedy PLC,False
1993-03-01,148.72,Sandersbury,"Schaefer, Williams and King",True
2022-08-10,695.89,Shawnfort,Andrade Inc,True
1973-01-30,602.22,New Thomasville,Johnston-Rogers,False
2025-01-02,831.76,Rivaston,"Benton, Evans and Osborne",False
2017-12-03,476.18,Lorettashire,"Hartman, Davis and Smith",False
2005-05-30,241.93,New Melindafort,Hammond-Cook,True
1976-04-05,890.75,New Gloria,"Ramirez, Parrish and Briggs",True
1975-09-18,752.63,West Lisaview,Anderson-Green,False
1976-03-02,598.47,North Sherristad,Lewis-Smith,False
2015-01-29,933.66,Hensonstad,Benjamin-Golden,False
2012-02-28,152.68,Lake Richardland,Bowen-Bailey,False
2013-07-14,950.57,Kathleenside,Oliver-Carter,True
2007-11-09,968.58,North Tracyport,Phillips-Stephens,False
1992-08-08,553.06,Port Emilyburgh,Villegas and Sons,True
1987-12-04,612.87,West William,Fernandez Inc,False
1989-05-11,100.28,New Dylan,"Smith, Bennett and Davis",True
2008-12-09,947.83,Port Donaldport,"James, Smith and Perez",False
1980-02-25,61.23,Lake Helen,Hebert-Hicks,True
1975-10-28,607.48,South Manuel,"Contreras, Miller and Thomas",False
1978-03-31,132.83,South Amanda,Moses-Scott,False
2018-10-11,800.56,West Christopherhaven,Lyons Inc,True
2013-09-15,758.82,Whitneyville,Torres Ltd,True
1997-10-23,197.78,West William,Hall-Moreno,True
1989-02-04,903.57,Port Nathanielshire,"Hernandez, Hernandez and Schroeder",True
1995-11-23,697.21,East Joe,Massey Group,True
1994-09-25,536.85,Richardsonville,"Wells, Campbell and Brown",False
2007-05-14,641.54,Port Gabrielmouth,"Lucas, Crawford and Thompson",True
2020-02-04,77.29,South Edward,Price Group,False
2005-05-29,661.65,West Gregory,Clark-Cox,True
1982-01-08,301.06,Meyersshire,Alvarado LLC,True
1993-07-27,496.38,Terryland,Martinez-Stewart,True
2018-12-19,925.74,Danielleberg,James-Walker,False
1989-08-16,616.38,Taylorshire,Collins-Cline,True
2023-12-06,185.46,North Travis,Edwards-Blanchard,False
1974-05-25,524.16,East Tarabury,"Lewis, Ford and Odom",True
1991-01-25,152.06,Ryanton,"Norris, Barber and Lopez",True
1970-04-20,963.81,West Jasminside,Nelson Inc,False
2019-08-13,583.63,Fosterbury,Johnson Inc,False
2009-09-23,650.84,East Jessicashire,"Zimmerman, Hawkins and Bowers",False
1970-06-19,648.56,Ashleytown,Barnes Group,False
2005-09-19,673.47,Walkerville,"Duncan, Frost and Richardson",True
1973-03-15,89.61,Nicholsmouth,Hayden-Allen,False
1984-08-14,714.21,South Brianbury,"Robinson, Campbell and Williams",False
1996-01-23,142.53,Richardsonton,Rice Group,False
2025-04-03,486.69,Stephanieville,"Palmer, Price and Walters",True
1980-08-06,955.73,Rileyfurt,"Phillips, Evans and Moses",False
2017-12-02,116.82,Rayhaven,Collins Group,True
1995-01-04,305.51,New Patricia,"Moore, Becker and Morales",False
1986-05-14,747.43,North Cheryl,Bailey-Bennett,True
2001-04-21,345.15,Port Theresastad,Brown-Sullivan,False
2021-11-14,532.02,Kaylafort,Rocha LLC,False
1985-03-13,678.2,South Melissamouth,Gomez Inc,False
1992-11-25,638.82,South Thomas,"Lopez, Ballard and Nichols",True
1992-05-31,526.28,Larafurt,"Meyers, Schmitt and Davis",True
2009-10-15,723.88,Port Stefanie,Strickland-Cook,True
1993-10-01,431.45,East Justin,Miller Inc,True
2011-04-22,815.49,New Cindy,Smith-Hill,True
1972-12-29,568.35,Dorseyview,"Sims, Pittman and Green",False
1976-04-28,933.4,Marieside,Orr Ltd,True
2009-07-11,50.64,New Matthew,Ramos Ltd,True
2021-05-06,478.46,South Jasonview,Atkinson-Hill,True
1978-05-03,311.78,Webbfort,Cochran-Rodriguez,False
2023-01-02,139.73,Matthewsview,"Dawson, Velasquez and Cox",False
2005-12-21,460.35,North Kathryn,Duncan-Davis,True
1991-01-03,640.08,Reneeborough,Wolfe-Wagner,False
1991-01-10,497.49,South Alexandra,"Frazier, Caldwell and Romero",True
2016-12-28,854.56,Matthewsstad,Simpson-Perkins,True
1973-04-19,19.8,West Thomas,Vasquez Inc,True
1987-08-07,832.11,New Matthew,"James, Johnson and Hunter",False
1987-05-23,213.84,New Amberberg,"Jefferson, Savage and Morgan",False
2011-01-18,750.06,Lake Sarah,Lewis Inc,True
1978-07-06,779.96,Garciaport,Marks-Russell,True
1997-12-07,497.85,Lake Theresaland,Frazier Inc,True
2000-09-23,183.86,Lake Georgefurt,"Coleman, Hammond and Harmon",False
1972-06-09,636.4,Mitchellview,"Gallegos, Haynes and Bishop",True
2009-12-12,851.28,East Michael,"Chen, Powell and Henry",False
1973-03-02,599.44,West Thomas,"Brewer, Bass and Gonzalez",False
2007-08-07,980.21,Ericshire,Smith-Robbins,True
1987-11-02,57.38,North Johnchester,Bowen LLC,False
1970-08-22,794.31,Bryanview,Myers Ltd,True
2009-09-21,102.04,Orrtown,Harper-Patel,False
1990-04-29,598.67,Fernandezfurt,Hill LLC,False
1971-03-31,191.93,Port Jeffreyhaven,Johnson-Taylor,True
1987-05-20,207.89,New Jimmyfort,Richardson Group,False
2008-10-06,945.89,Fishermouth,"Bell, White and Henry",True
1996-08-21,613.23,West Joseph,"Lopez, Lynch and Travis",False
2002-02-05,395.9,South Larry,Walker-Wheeler,False
2005-12-11,873.29,Savagebury,Miller PLC,False
1971-03-01,799.64,Brandystad,Bennett-Mills,False
1994-01-24,620.66,Cardenasberg,Bullock LLC,True
2021-07-25,777.48,North Scottburgh,Simpson Group,False
1986-03-16,122.21,Silvafurt,Massey and Sons,True
1979-03-03,586.55,Gomezville,"Mendoza, Zimmerman and Mckinney",False
2004-12-01,630.64,Hammondmouth,Walker Ltd,False
1982-04-14,89.66,New Scottland,Dean Inc,False
1975-07-29,315.89,Schmidtmouth,Estrada-Hill,True
1997-04-14,341.98,Antoniofurt,"Moore, Gonzalez and Carlson",False
2017-05-21,938.59,Laurenshire,"Myers, Rosario and Shields",True
1976-09-29,321.29,Johnborough,Delgado Inc,False
1970-03-14,224.53,Hannahmouth,Wilson-Cuevas,True
2000-02-25,728.85,Harrisonfort,"Fleming, Frye and Martin",True
2008-04-19,101.31,Lake Sharon,Rice PLC,False
2010-03-17,898.6,North Melanieview,"Butler, Smith and Thomas",False
2016-11-11,895.32,West Cynthia,"Allen, Yu and King",True
1990-09-02,825.67,Steelefort,"Mendez, Dunn and Suarez",False
2007-03-03,580.28,East Kelsey,Harris Ltd,False
1985-05-09,476.95,North Stefaniefort,Malone PLC,False
1983-01-12,15.39,Sarahhaven,Gutierrez Inc,True
2009-02-23,497.28,Cruzfort,Robinson-Miles,True
1970-08-26,702.36,Gomezland,Andersen-Rogers,True
1973-10-31,768.26,Ryanville,Wise and Sons,False
1989-12-05,676.25,Warrenhaven,Arias-Marshall,False
1994-02-19,363.73,North Sarah,"Burke, Cain and Bell",False
2004-08-24,878.29,Jamesbury,"Harrison, Griffin and Escobar",True
1988-07-31,898.3,South Keithfurt,Wall-Patel,False
1974-04-07,490.77,Erinborough,Flores and Sons,False
1992-03-17,439.4,Joshuaville,Cochran-Chandler,True
1999-04-07,177.63,Bowmanshire,"Walker, Mcguire and Williams",True
1985-11-08,419.16,Katherinestad,Espinoza LLC,False
1997-02-24,960.76,Randyfort,Lloyd-Nicholson,True
2012-05-02,55.61,Sarahport,Bird Ltd,True
1980-12-14,261.42,Lake Lauramouth,"Ward, Lopez and Miller",False
2000-07-25,140.32,Shieldsfort,Randolph PLC,False
2015-02-21,267.72,East Amy,Guzman LLC,True
2015-07-02,149.33,Jamesmouth,Scott-Walker,True
2008-04-22,412.27,Lake Steven,Bolton LLC,False
2001-11-30,924.77,Lake Jenniferstad,Haney-Campbell,False
2020-09-10,929.91,Philipbury,Calhoun-Frazier,True
2001-09-27,19.57,Reidfurt,"Hughes, Sanchez and Bell",False
1986-06-10,164.43,Vangville,Montoya-Abbott,True
1998-10-08,215.86,Josephland,"Morales, Zimmerman and Bailey",True
1972-11-06,114.19,North Jackieborough,Jackson-Smith,True
2009-03-28,964.47,East Jeanettefurt,Williams Ltd,False
1997-01-27,584.86,Jeffersonmouth,Jackson Inc,False
1991-07-13,646.73,Jenniferfurt,"Cook, Mckenzie and Clark",False
2016-12-02,452.49,Barnesview,Moran LLC,False
1971-01-11,824.16,North Mary,"Dennis, Beard and Hess",False
1994-02-01,98.45,East Matthewfort,Anderson-Jackson,False
1983-06-20,207.09,Matthewstad,Dixon LLC,False
2011-08-14,355.49,North Nicholas,"Knight, Mccoy and Martinez",True
2014-12-08,993.17,Lake Miranda,Moore Inc,False
1987-06-13,483.6,West Andrewfurt,"Shepherd, Martin and Shepherd",False
1982-05-08,711.9,Carrillomouth,"Whitehead, Morgan and Woodard",False
1984-08-14,429.12,Donaldton,Adkins LLC,True
1989-07-19,133.87,Brentland,Montoya and Sons,False
1995-05-30,999.46,Lake Kristenfort,"Shaw, Jones and Malone",False
2000-02-06,630.48,Cynthiabury,"Davis, Bartlett and Burke",False
2020-09-26,614.22,Hollyville,"Thompson, Oconnor and Torres",False
1996-04-23,561.39,East Rachel,Baker and Sons,False
2014-09-14,965.85,South Martinshire,Castro and Sons,True
1972-12-13,938.8,Port Jessicashire,Anderson-Alvarez,False
2011-03-02,547.06,Santosmouth,"Barr, Sims and Lewis",False
1977-10-15,724.47,New Heatherport,Jones PLC,True
1972-11-22,757.71,New Oliviabury,Baker-Jenkins,False
2007-06-17,498.74,Parksstad,"Humphrey, Stewart and Reid",True
2016-08-05,412.19,Kristinamouth,"Perry, West and Hamilton",True
1993-02-09,830.1,Howellland,"Evans, Cook and Beard",False
2012-01-09,937.12,New Annabury,"Thomas, Carter and Hubbard",True
2010-12-08,862.76,South Kristinefort,Clayton and Sons,False
1985-03-10,327.43,West Michaelshire,Pittman-Dixon,False
1970-10-14,708.7,Abigailfort,Williams and Sons,True
1976-08-20,769.87,Lake Jessica,Carlson-Levy,True
1987-10-02,370.01,Riverastad,West-King,False
2013-04-22,95.19,Bradleyburgh,Perez-Patel,False
2009-11-16,830.89,Port Christinachester,Maldonado LLC,True
1990-10-28,605.33,Whitefurt,"Martin, Duke and Roth",True
2021-06-16,729.09,West Justin,Webster-Cruz,True
2003-06-16,144.17,North Jessica,Contreras Ltd,False
1992-06-07,810.74,Powellmouth,Wilson-Hernandez,False
2007-01-12,408.51,Burketon,"Torres, Lee and Espinoza",True
1984-07-30,775.17,West Johnport,Gilbert Ltd,True
2016-02-12,98.11,Harrisland,Reed and Sons,True
1995-11-21,970.41,Figueroaberg,Koch LLC,False
2004-09-11,371.48,Navarrochester,Perry LLC,False
2010-03-19,392.7,West Dominiquefurt,Proctor-Collins,True
2018-08-21,469.04,North Kristen,Reed-Hoover,False
1982-05-07,407.7,Moralestown,Sparks and Sons,True
2020-05-01,817.0,East Jasonborough,"Davis, Yu and Williams",False
2003-08-24,501.93,Lake Scottchester,Shepard Inc,True
1974-01-20,662.11,Murphyton,"Smith, Snyder and Jackson",True
2024-05-12,751.81,West Ronnietown,Parker PLC,True
2008-08-04,72.41,Robertview,"Smith, Hill and Clark",False
2015-09-06,497.02,New Tylermouth,Kaiser-Taylor,True
1983-11-08,346.53,Port Stephanieland,Fuentes-Gilbert,True
2021-04-15,704.19,Mitchellmouth,Banks Inc,False
1972-12-05,580.43,Lake Barbara,Davis PLC,True
2002-11-20,26.83,West Brandonborough,"Knight, Powers and Murillo",True
1994-01-11,273.9,Denisestad,"Freeman, Harris and Olson",False
1989-04-04,231.48,Dixonfort,Jones Inc,False
1975-07-31,459.58,Andrewmouth,Castillo-Nelson,True
2013-11-30,910.5,Port Gailburgh,Smith-Peck,True
1981-06-09,803.7,West Staceyburgh,Washington Group,True
2009-08-16,246.72,New Nataliestad,Fisher-Diaz,True
2001-01-26,701.19,South Jenniferland,Lee-Rowe,True
1986-10-25,264.51,West Larry,Smith-Ingram,True
1970-06-12,687.34,East Renee,"Williamson, Griffin and Herrera",True
2012-03-14,200.18,East Heatherland,Erickson Ltd,True
1974-08-12,953.26,Kathrynside,"Beck, Williams and Li",False
1990-09-01,132.87,Santiagoville,Kelley PLC,True
1988-10-31,856.15,Loristad,Holland-Burgess,True
1994-03-26,811.8,New Debramouth,Rogers-Norman,False
2016-04-28,225.8,West Matthew,Kelley Ltd,False
2024-07-10,449.56,South Omarborough,Bond Group,True
2016-06-16,30.16,Port Daniel,"Banks, Lawrence and Stark",True
1988-12-07,216.93,West Michelle,Vaughan Ltd,True
2011-04-03,371.25,Ramoshaven,"Baker, Hickman and Sellers",False
2011-08-03,811.44,Kellyfurt,"Fitzpatrick, Martin and Griffin",False
2022-01-27,93.86,Port Johnnyburgh,Roberts-Davis,False
2013-03-02,629.95,Courtneyberg,"Mason, Davis and Rice",True
2014-10-13,6.33,South Markchester,Taylor Ltd,False
1974-02-05,464.97,Sanfordport,Perez-Sandoval,False
1992-01-16,731.16,West Rebecca,Weber Ltd,True
2009-04-10,909.26,Bartontown,Castillo Ltd,False
2024-12-30,314.15,Cruzchester,"Graves, Tanner and Carpenter",True
1995-11-18,245.62,Wilsonmouth,Martinez PLC,True
2004-05-21,88.5,Megantown,Yoder and Sons,False
1996-01-12,457.9,Anthonytown,Bradford Inc,True
2009-08-04,422.2,Lawrenceview,Mooney Inc,False
1974-06-23,624.03,Burnettberg,"Moss, Davis and Edwards",True
1978-07-13,739.56,Alyssabury,Black LLC,False
1975-06-26,459.54,Port Shane,Fuentes Ltd,True
1988-11-13,124.08,Port Paul,"Barr, Brown and Chaney",False
1973-09-22,557.47,Port Stephanie,"Schneider, Bowen and Prince",False
2008-06-16,884.62,Christopherland,Rosario Ltd,True
2007-07-26,778.24,Port Kimberlyfort,Evans-Miller,False
2020-05-03,617.52,Lewisland,Patrick-Jackson,False
2000-06-17,961.06,Hayeston,"Roberts, Jimenez and Rodriguez",True
1971-03-02,961.62,Randallstad,Webb and Sons,False
1991-09-01,359.31,Millerport,Mason Inc,False
2017-02-01,752.14,Brownside,Gonzalez LLC,True
2013-05-02,786.17,Lake Rebecca,Boyd-Cole,True
1971-06-01,497.91,Alexischester,"Lewis, Mcdonald and Morris",True
1986-04-20,256.61,Sandratown,Kim LLC,False
2024-01-28,435.7,South Conniebury,Huerta Group,True
2020-08-31,319.07,Lake Aaron,"Mccall, Gonzalez and Lewis",True
2004-05-12,611.89,East Heathertown,Thomas-Wade,True
1973-07-25,160.8,Lake Teresa,Frazier-Warren,False
1970-06-03,23.52,Martinport,Thompson-Lopez,True
1983-04-27,298.0,Pamelamouth,Rivera and Sons,False
1972-06-24,157.57,Port Katelynfurt,Chen-White,False
2016-12-10,987.84,Lauraland,Olson LLC,False
1981-02-13,68.46,Staffordside,"Johnson, Wilson and Roy",False
2018-09-05,74.13,Lake Michaelburgh,Miller-Hamilton,False
1993-06-05,172.86,West Tiffany,"Webster, Gillespie and Gonzalez",False
2024-03-17,351.33,Harrisburgh,Jenkins PLC,False
2000-03-20,707.75,New William,Ayala-Miller,False
1984-05-13,372.02,Dunlapbury,"Cross, Reid and Levine",True
2001-10-31,85.99,Lake Matthewtown,"Gross, Scott and Moore",True
2013-02-01,322.19,Williamborough,Brown Group,False
1988-09-13,59.76,North Aaron,Hall LLC,False
2019-11-11,188.2,West Audreybury,Stewart Inc,True
1981-03-21,578.64,Floresview,Lee Ltd,False
1978-08-12,983.95,West Adrian,"Williams, Solomon and Johnson",False
1973-06-08,959.02,Hessbury,Gaines LLC,True
1987-09-29,904.38,Meyersshire,Jones and Sons,True
1993-01-28,107.16,West Jacquelineview,Bell-Clark,True
1986-05-12,222.91,Williamfort,Daniel and Sons,False
1975-10-23,980.31,Danielland,"Lewis, Robinson and Stewart",True
1977-11-05,505.45,West Monica,Miller PLC,False
1989-05-11,242.85,West Shawn,Singh Group,False
2005-03-19,661.38,Millerfurt,"Owens, Moore and Alvarado",False
1990-08-07,706.07,Hendersonborough,"Rodriguez, Cruz and Collins",False
2022-07-25,923.12,North Jessicashire,Mejia Group,True
2019-08-26,969.21,East Kristenfort,Yang Inc,False
2002-03-10,988.46,Paigemouth,Swanson LLC,False
2000-06-25,625.93,East Darlene,Moore PLC,True
1984-06-07,190.23,North William,Davis PLC,False
2014-08-09,639.28,Scottmouth,Serrano-Salazar,True
1993-01-19,827.61,Dakotafort,Thompson-Bond,False
1979-09-14,73.57,West Markberg,"Boyd, Hardy and Richardson",True
1975-11-21,55.46,Johnsonchester,Mckee Group,False
2024-09-15,440.8,Wolfeborough,Ford Inc,True
2021-07-19,821.82,Johnstad,Nichols-Ayala,True
1996-05-02,172.86,South Veronica,Johnson-Anderson,True
2000-01-28,712.38,Kathrynmouth,"Smith, Cox and Williams",True
2008-03-15,419.67,Raymondmouth,Martin-Gonzalez,False
1995-07-26,737.45,Cameronview,Velasquez-Bradshaw,True
1970-05-11,666.75,Richardmouth,"Jensen, Edwards and Harris",True
2019-11-20,571.67,South Julieland,Bates-Ryan,True
2024-06-27,834.0,Port Erichaven,"Mendez, Hull and Smith",True
1971-02-15,311.05,South Cesar,Smith-Leon,False
1978-12-04,27.83,Gordonside,Patton Ltd,False
1986-10-15,256.67,South Julie,Wells-Payne,True
1971-11-30,602.33,Collinsfort,Stephens-Brown,False
1978-10-05,541.5,Holmesstad,Benitez-Burton,True
2017-04-25,544.83,Brownland,Prince and Sons,False
1974-11-22,904.8,East Mandy,Moore Inc,False
2001-07-21,881.61,Heatherside,Shea-Williams,True
2006-08-05,792.41,South Hannahport,Harrison-Perkins,False
1985-01-14,130.85,Rhodesport,Marquez-Mcconnell,False
2012-11-20,169.16,Lake Marvin,"Bray, Nunez and Holder",True
2006-11-21,288.24,North Jessica,"Johnson, Lawrence and Mendoza",False
2017-03-05,418.63,Rodriguezton,Little-Frye,True
1992-01-06,18.5,Port Kimberly,Welch Ltd,False
1988-10-02,128.87,New Candaceton,Miller-Nash,True
1991-11-05,222.49,Lake Candice,Nelson PLC,False
1991-04-25,103.84,Longhaven,Solomon-Dunn,False
1977-05-06,162.66,Anneshire,Murphy PLC,True
1998-10-17,929.32,New Jonathan,Neal PLC,False
2022-08-11,72.97,Lake Connieburgh,Chen-Rodriguez,False
1997-12-06,374.21,Joanneberg,"Watson, Williams and Jordan",True
2000-12-21,925.23,Sergioberg,Hudson and Sons,True
2003-02-03,225.78,East Stephen,Becker Group,True
2014-02-22,408.89,Rodriguezland,Hall and Sons,False
1970-04-27,657.65,South Sarah,"Stuart, Scott and Taylor",True
